Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,Genres
Fouji Fojan Lofi 2 (feat. Aamin Barodi & Sapna Choudhary),Fouji Fojan 2 Lofi (feat. Aamin Barodi & Sapna Choudhary),Raj Mawer,3/14/2024,ING642402006,"2,088",31.6,"41,746",2,31,,"6,55,76,399","2,90,795",hip hop
A Cara do Crime (Nï¿½ï¿½s Incom,A Cara do Crime (Nï¿½ï¿½s Incom,Mc Poze do Rodo,5/27/2021,BCM9A2100020,"2,076",31.6,"16,78,85,356","35,425","52,69,761",59,"62,31,56,045","44,94,258",Rythem
Overseas,Overseas,D-Block Europe,11/18/2021,GB2DY2100828,"2,086",31.6,"21,63,54,398","90,545","54,25,432",64,"9,23,56,896","6,47,095",Blues
"I Pï¿½ï¿½ï¿½ ME, TU P","I Pï¿½ï¿½ï¿½ ME, TU P",Geolier,02-07-2024,ITQ002400009,"2,079",31.6,"8,59,67,228","4,033","59,92,539",71,"5,53,72,624","3,70,683",Folk Music
Monster (Shawn Mendes &amp; Justin Bieber),Monster,Shawn Mendes,11/20/2020,USUM72018810,"2,075",31.6,"60,60,18,960","77,941","2,40,28,281",61,"24,99,97,553","44,74,871",Disco
Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,01-01-2010,USCA21001264,"2,084",31.6,"1,14,45,35,829","1,70,779","8,38,27,327",71,"1,60,40,84,148","80,81,370",Rock
Circo Loco,Her Loss,Drake,11-04-2022,USUG12208606,"2,077",31.6,"20,14,67,069","74,719","1,59,70,383",65,"2,09,37,003","2,25,873",pop
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,04-08-2021,USRC12100760,"2,083",31.6,"1,82,38,71,908","8,460","16,66,482",46,"46,22,18,257","49,49,298",jazz
Canï¿½ï¿½n Saï¿½ï,Canï¿½ï¿½n Saï¿½ï,Semicenk,4/21/2023,FRX282385759,"2,082",31.6,"14,12,52,425","15,291","51,54,828",69,"19,40,66,158","5,87,390",Rock
Limbo,Freddie's Inferno,Freddie Dredd,08-11-2022,USRC12201645,"2,080",31.6,"29,01,54,153","78,735","1,18,59,340",68,"2,30,82,946","4,21,187",pop
Laad Piya Ke,Laad Piya Ke,Raju Punjabi,05-04-2022,INA1I1900134,"2,087",31.6,"1,76,75,254",894,"1,01,013",55,"57,30,15,231","12,99,244",jazz
Coco Cola,Coco Cola,Ruchika Jangid,09-04-2020,INN172010039,"2,081",31.6,"1,64,83,067","1,547","4,87,542",53,"1,01,97,12,247","40,23,690",hip hop
DUELE EL CORAZON,The RCA-List (Vol. 2),Enrique Iglesias,01-01-2016,USRC11600642,"2,100",31.5,"65,46,12,558","69,811","1,97,44,540",63,"1,57,12,10,815","57,96,659",Rythem
The Code,The Code,Nemo,2/29/2024,DEUM72401182,"2,091",31.5,"5,29,25,522","4,755","1,29,93,786",79,"3,56,40,835","4,68,153",Blues
Jï¿½ï¿½lale,Jï¿½ï¿½lale,Bb trickz,05-02-2024,ES5022400953,"2,102",31.5,"2,36,49,304","1,089","1,33,73,487",73,"1,82,61,218","2,29,451",Folk Music
A Puro Dolor,A Puro Dolor - Single,Gabito Ballesteros,12-02-2023,USA2P2355925,"2,098",31.5,"14,53,32,157","8,065","1,99,54,898",80,"7,90,26,835","4,07,599",Disco
Baddie,I'VE MINE,IVE,10/13/2023,QMDA72364152,"2,094",31.5,"9,77,38,080","9,673","78,06,354",,"10,54,03,652","11,73,505",Rock
Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus,11/20/2020,USRC12003364,"2,101",31.5,"79,54,49,825","89,489","2,67,07,311",67,"15,61,72,635","21,82,645",pop
Why Not,Why Not,Ghostface Playa,04-01-2022,QM4TX2235296,"2,099",31.5,"18,79,25,725","56,849","2,04,52,829",64,"13,27,88,074","19,59,343",jazz
Got It On Me,Shoot For The Stars Aim For The Moon,Pop Smoke,07-03-2020,USUM72013361,"2,096",31.5,"50,14,68,322","1,67,938","1,91,74,702",67,"14,55,12,290","21,25,906",Rock
intro (end of the world),eternal sunshine,Ariana Grande,03-08-2024,USUM72317270,"2,090",31.5,"21,63,86,557","6,696","1,43,39,377",82,"46,13,304","63,775",pop
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,01-01-1994,USSM19400325,"2,097",31.5,"1,81,06,49,765","1,09,411","4,50,03,974",60,"82,45,00,156","74,55,155",jazz
La Rompe Corazones,La Rompe Corazones,Daddy Yankee,1/13/2017,US2BU1603070,"2,093",31.5,"52,62,64,393","48,041","1,90,56,854",66,"1,42,36,26,083","47,11,667",hip hop
QUE ME FALTE TODO,QUE ME FALTE TODO,Luck Ra,10/26/2023,CLPP22300109,"2,089",31.5,"8,35,44,478","7,535","1,24,87,998",66,"10,67,72,777","2,96,327",Rythem
How To Fly (Abbey Road Remaster 2024),Caress Your Soul (Abbey Road Remaster 2024),Sticky Fingers,03-08-2024,AUUR12400049,"2,092",31.5,"19,03,42,124",60,"16,287",,,,Blues
Dj Dayak Full Beat Lagu Malihi Janji,Dj Dayak Full Beat Lagu Malihi Janji,Jeremya Ginting,12-06-2022,SGB502295030,"2,095",31.5,"32,11,473",678,"2,45,209",,,,Folk Music
Si Estuviï¿½ï¿½semos Ju,X 100PRE,Bad Bunny,12/23/2018,QM7281884729,"2,106",31.4,"89,38,76,704","86,788","3,05,01,893",75,"82,42,38,458","52,74,687",Disco
360,360,Charli xcx,05-10-2024,USAT22401341,"2,104",31.4,"3,19,40,305","3,363","9,43,36,088",76,"37,84,807","1,47,917",Rock
GATA ONLY (Con Cris MJ),GATA ONLY (Con Cris MJ),FloyyMenor,02-02-2024,QZDA62409561,"2,105",31.4,"66,82,80,514",3,346,,,,pop
El Perdï¿½,Full Circle: The Live Anthology,Nicky Jam,11/20/2011,USSD11500005,"2,108",31.4,"86,90,24,663","91,687","3,00,02,977",69,"1,93,73,30,456","60,59,523",jazz
Love Scars,A Love Letter To You,Trippie Redd,5/14/2017,QMEU31704830,"2,103",31.4,"40,29,70,867","78,206","1,19,62,192",5,"10,19,38,749","10,29,804",Rock
Die Hard,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,USUM72208965,"2,107",31.4,"31,83,40,376","83,638","1,07,49,840",71,"4,37,14,392","4,91,664",pop
Akher Yawm,Akher Yawm - Single,Ghaliaa,08-07-2023,SGW502328333,"2,109",31.4,"4,47,624",133,"28,248",29,"20,172",453,Rock
Ascend,Ascend - Single,Dezko,06-09-2023,QM7282324662,"2,114",31.3,"7,63,05,266","31,142","2,63,10,863",66,"5,91,40,995","7,48,335",pop
SI SABE FERXXO,SI SABE FERXXO,Blessd,1/24/2024,QZZ3N2400002,"2,117",31.3,"12,40,20,754","8,723","3,78,31,803",74,"3,29,07,129","2,91,898",jazz
Wind Up Missin' You,Wind Up Missin' You - Single,Tucker Wetmore,3/29/2024,QM24S2401097,"2,116",31.3,"5,84,96,778","5,573","3,08,58,408",74,"67,18,753","63,141",hip hop
No Limit,No Limit,G-Eazy,09-07-2017,USRC11702117,"2,118",31.3,"66,07,10,453","90,212","2,07,70,256",62,"81,42,00,168","52,48,262",Rythem
ten,ten,Fred again..,10/13/2023,GBAHS2301151,"2,110",31.3,"8,07,95,111","29,807","1,47,07,999",,"39,22,613","53,253",Blues
"Dance For Me (1, 2, 3) - Stutter Techno","Dance For Me (1, 2, 3) [Stutter Techno]",Sonny Wern,10-06-2023,NL1DT2300205,"2,115",31.3,"8,73,23,895","31,519","2,28,10,387",,,,Folk Music
Paro,Paro,Nej,5/21/2021,FR96X2142743,"2,112",31.3,"12,00,54,361","36,872","45,48,963",56,"46,84,41,213","51,19,403",Disco
HOPE,HOPE,NF,2/16/2023,USUM72300445,"2,111",31.3,"16,48,75,589","40,366","1,60,74,335",64,"12,46,09,202","22,99,632",Rock
On My Way,On My Way,Alan Walker,3/21/2019,NOG841901010,"2,119",31.3,"67,00,68,696","75,834","1,63,63,220",67,"66,55,58,958","1,15,99,426",pop
You Need To Calm Down,You Need To Calm Down,Taylor Swift,6/14/2019,USUG11901470,"2,113",31.3,"93,50,98,853","63,937","4,43,56,528",75,"43,77,94,062","59,82,989",jazz
Dancinï¿½ï¿½ï¿½ In The C,Dancin' In The Country,Tyler Hubbard,8/19/2022,USUM72206481,"2,129",31.2,"14,26,07,318","17,721","1,15,39,344",67,"1,32,70,587","89,854",Rock
Starting Over,Starting Over,Chris Stapleton,8/27/2020,USUM72013812,"2,134",31.2,"32,05,86,187","52,739","93,54,750",71,"17,43,57,045","8,50,627",pop
295,Moosetape,Sidhu Moose Wala,5/15/2021,INU252102408,"2,130",31.2,"26,78,97,492","21,677","58,61,599",68,"67,74,72,355","1,11,60,045",jazz
Gangsta's Paradise (feat. L.V.),...And You Don't Stop - A Celebration of 50 Years of Hip Hop,Coolio,08-11-2023,USTB12300126,"2,128",31.2,"1,66,66,99,743",7,"2,021",13,,,hip hop
Gulabi Sharara,Gulabi Sharara,Inder Arya,7/27/2023,INS7A2500864,"2,122",31.2,"1,73,89,541","1,613","1,58,758",53,"21,93,00,210","17,76,778",Rythem
Otro Atardecer,Un Verano Sin Ti,Bad Bunny,05-06-2022,QM6MZ2214891,"2,126",31.2,"42,64,39,016","58,352","1,25,90,067",71,"18,70,59,915","11,40,762",Blues
ýýlle de Sen,ýýlle de Sen - Single,Muti,11/17/2023,TRCGH2300006,"2,132",31.2,"4,96,30,584","7,644","10,77,118",,"10,20,74,133","3,05,216",Folk Music
Soweto,Outlaw,Victony,05-06-2022,QZAKB2164097,"2,123",31.2,"13,33,53,888","40,696","28,70,988",69,"15,21,40,804","8,45,642",Disco
Enjoy,Enjoy,Jux,7/14/2023,ZA56E2303708,"2,127",31.2,"74,03,756","2,938","5,35,879",19,"1,35,23,535","99,905",Rock
Poland,Poland - Single,Lil Yachty,10-04-2022,USUG12207318,"2,131",31.2,"14,28,17,891","52,177","93,87,393",58,"95,64,773","3,74,693",pop
BBY BOO,BBY BOO,iZaak,12/21/2023,USWL12303270,"2,125",31.2,"61,72,030","1,159","17,88,765",,"10,79,31,540","7,09,294",jazz
Brillarosa,Dolido Pero No Arrepentido - EP,Fuerza Regida,02-09-2024,QZ9QQ2400124,"2,120",31.2,"6,98,34,726","3,512","88,63,236",,"5,13,51,887","2,69,848",Rock
Bertaraf,Sir,Canbay & Wolker,9/29/2023,QZTPX2361588,"2,124",31.2,"7,11,90,581","7,887","34,40,542",70,"12,78,86,162","4,47,006",pop
U My Everything (feat. Drake),In Sexyy We Trust,Sexyy Red,5/24/2024,QZS7J2409861,"2,133",31.2,"1,36,71,209","1,332","3,55,00,278",71,"31,43,016","58,858",jazz
Devil Eyes,Providence,Hippie Sabotage,02-05-2016,US7SR1600006,"2,121",31.2,"76,92,95,129","1,95,653","2,02,89,921",71,"70,66,46,464","75,79,662",hip hop
m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,5/14/2021,QMJMT2103634,"2,135",31.1,"43,61,33,194","1,24,236","2,14,55,262",68,"7,83,05,305","9,10,889",Rythem
I'm Yours,DDB Hitzone Best Of 2008,Jason Mraz,01-01-2008,USEE10800667,"2,136",31.1,"1,87,80,98,512","2,41,725","10,34,80,270",72,"35,98,66,287","16,14,148",Blues
"Going, Going, Gone",Growin' Up,Luke Combs,6/24/2022,US6XF2100240,"2,139",31.1,"19,26,33,758","25,097","53,07,004",72,"4,36,07,584","2,03,727",Folk Music
HISS,HISS,Megan Thee Stallion,1/26/2024,USAT22400675,"2,141",31.1,"8,09,52,546","6,104","2,30,88,210",,"4,53,78,271","12,59,297",Disco
Baarish Ki Jaaye,Baarish Ki Jaaye,B Praak,3/27/2021,INUM72100017,"2,142",31.1,"5,30,64,181","6,163","10,29,980",53,"70,03,21,521","72,93,139",Rock
Company,Company,Emiway Bantai,1/22/2023,FR2X42304449,"2,144",31.1,"3,98,99,018","2,423","6,91,567",49,"27,92,46,643","45,02,050",pop
get him back!,GUTS,Olivia Rodrigo,09-08-2023,USUG12305007,"2,140",31.1,"28,71,64,579","1,732","4,65,956",,,,jazz
LA PEOPLE,LA PEOPLE,Peso Pluma,6/22/2023,QM7282306250,"2,143",31.1,"26,13,11,116","21,917","1,75,43,809",75,"7,31,74,350","2,86,276",Rock
BRAZILIAN DANï¿½ï¿½A P,BRAZILIAN DANï¿½ï¿½A P,6YNTHMANE,05-12-2023,QM6N22383605,"2,137",31.1,"18,59,14,923","28,387","1,91,22,650",72,"11,41,53,936","15,00,822",pop
REACT,REACT,Switch Disco,1/13/2023,GBARL2202525,"2,138",31.1,"13,78,97,920","26,625","5,42,04,917",69,"6,14,38,933","3,66,832",jazz
Ocean,OCEAN,KAROL G,05-03-2019,USUM71904901,"2,149",31,"31,21,11,545","30,520","1,27,59,646",66,"72,20,96,242","53,68,740",hip hop
Wrecked,Wrecked,Imagine Dragons,07-02-2021,USUM72110166,"2,153",31,"30,95,87,427","57,487","55,71,645",64,"19,93,56,851","15,45,728",Rythem
Think U The Shit (Fart),Think U The Shit (Fart),Ice Spice,1/26/2024,USUG12400704,"2,155",31,"8,20,13,588","8,321","1,73,90,936",,"3,58,69,265","5,94,381",Blues
Brown Munde,Brown Munde,AP Dhillon,9/18/2020,TCAFC2063050,"2,148",31,"26,76,17,808","37,741","54,54,166",64,"75,63,95,439","78,89,556",Folk Music
"Kallo(Feat.Ajay Hooda,Pooja Hooda)","Kallo(Feat.Ajay Hooda,Pooja Hooda)",Komal Choudhary,10/25/2023,INT502310027,"2,146",31,"1,54,83,918",978,"1,36,801",,"15,91,98,721","8,31,982",Disco
pov,Positions,Ariana Grande,10/30/2020,USUM72020441,"2,147",31,"54,13,97,856","62,958","2,39,01,981",66,"19,51,25,143","19,21,318",Rock
Dancing On My Own,Dancing On My Own,Calum Scott,03-11-2016,UK6KW1500205,"2,154",31,"1,23,23,73,956","1,34,807","7,07,18,949",74,"82,36,92,209","48,89,435",pop
Stay With Me,Full Circle: The Live Anthology,Sam Smith,11/20/2011,GBUM71308833,"2,152",31,"2,08,64,60,781","1,67,759","9,64,23,336",77,"21,28,89,507","16,03,354",jazz
Back Then Right Now,Back Then Right Now,Tyler Hubbard,09-08-2023,USUG12307215,"2,150",31,"2,69,17,389","3,411","87,06,253",,"27,49,241","22,965",Rock
Boucan (feat. Franglish),Boucan (feat. Franglish),KeBlack,4/25/2024,FRPZ92414500,"2,145",31,"2,16,70,034","1,989","67,17,297",73,"1,52,71,196","1,23,620",pop
Fulanito,Fulanito,Becky G,06-03-2021,USRC12100954,"2,151",31,"25,41,18,106","38,980","1,10,54,219",58,"40,40,64,054","27,32,944",Rock
Only Love Can Hurt Like This (feat. Teddy Swims) - Remix,Only Love Can Hurt Like This (feat. Teddy Swims) - Single,Paloma Faith,9/23/2022,GBARL2201949,"2,156",31,"1,02,96,798","1,307","17,25,637",58,"1,17,26,419","1,25,802",pop
Business (feat. Naza),Business (feat. Naza),DYSTINCT,06-01-2023,NL2BN2300047,"2,160",30.9,"7,47,69,930","34,206","33,53,721",60,"7,25,59,154","4,84,307",jazz
MANIAC,ODDINARY,Stray Kids,3/18/2022,US5TA2200027,"2,163",30.9,"29,37,24,552","27,089","85,06,820",68,"34,32,73,995","68,40,494",hip hop
A Real Playa,A Real Playa - Single,Parsa Nani,5/24/2024,GBARL2400577,"2,158",30.9,"17,255",17,"64,478",,"24,805",335,Rythem
Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition),Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition) - Single,Dominic Fike,06-02-2023,USQX92303644,"2,159",30.9,"14,86,86,610","37,054","1,50,04,163",63,"4,45,811","5,554",Blues
ADIï¿½,LA NENA DE ARGENTINA,Maria Becerra,12-08-2022,USAT22221820,"2,157",30.9,"17,20,82,938","15,951","67,01,830",66,"21,57,19,591","8,57,582",Folk Music
Something About You,Something About You,Eyedress,06-03-2021,GBMYF2000174,"2,162",30.9,"43,85,11,316","96,233","2,26,97,396",77,"2,71,88,286","5,73,905",Disco
Patadas de Ahogado,Patadas de Ahogado,LATIN MAFIA,11-03-2023,MXF012301101,"2,161",30.9,"12,75,03,950","18,981","1,62,80,436",,"3,99,27,538","5,05,055",Rock
After LIKE,After LIKE - Single,IVE,8/22/2022,QMBZ92254957,"2,169",30.8,"36,52,03,093","28,691","1,21,28,682",69,"28,17,24,902","29,37,674",pop
So Far,So Far,florias,03-10-2023,SE5752309413,"2,164",30.8,"10,554",18,541,10,"33,33,66,384","3,62,004",jazz
idontwannabeyouanymore,dont smile at me,Billie Eilish,7/21/2017,USUM71707712,"2,166",30.8,"1,09,11,85,920","1,14,997","2,81,72,038",72,"52,24,22,864","59,93,528",Rock
Debo Entender,Debo Entender,Santa Fe Klan,12-12-2019,USL4Q1967883,"2,168",30.8,"33,58,56,859","27,383","54,58,230",66,"91,71,70,916","61,08,835",pop
Vem Desestressar,Vem Desestressar,MC PH,04-04-2024,BXG6R2400152,"2,177",30.8,"3,54,73,387","3,432","2,05,67,305",69,"2,89,92,482","2,85,938",jazz
Darkside,Darkside,Alan Walker,7/27/2018,NOG841806010,"2,173",30.8,"59,64,69,106","81,058","1,62,82,307",67,"91,94,43,352","90,60,446",hip hop
Call Me Every Day (feat. WizKid),Call Me Every Day (feat. WizKid),Chris Brown,6/17/2022,USRC12201904,"2,174",30.8,"12,50,56,212","43,939","92,82,167",61,"12,35,51,829","11,91,440",Rythem
World's Smallest Violin,OK ORCHESTRA,AJR,01-01-2021,QMRSZ2003324,"2,165",30.8,"34,32,27,483","71,196","55,09,068",63,"23,94,80,315","41,07,386",Blues
Thot Shit,Thot Shit,Megan Thee Stallion,06-11-2021,QMCE32100339,"2,176",30.8,"31,93,72,639","63,421","2,69,04,800",60,"16,67,81,349","24,97,154",Folk Music
Money Trees,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,01-01-2012,USUM71210785,"2,167",30.8,"1,47,62,17,041","3,52,198","5,98,11,242",75,"38,51,75,377","30,54,056",Disco
Si La Calle Llama - Remix,3MEN2 KBRN,Eladio Carrion,3/17/2023,QM4TX2344392,"2,175",30.8,"19,04,20,514","39,949","1,16,67,012",65,"10,91,02,453","8,01,125",Rock
Kusu Kusu (feat. Pamela Jain),Top Hits - Single,Dev Negi,12/22/2021,NLHR52116995,"2,171",30.8,,,,,"68,42,72,012","68,97,951",pop
Waffle House,Waffle House,Jonas Brothers,04-07-2023,USUG12301227,"2,170",30.8,"13,91,05,802","16,162","2,47,53,071",63,"1,85,20,292","1,75,833",jazz
Tacata,Tacata,Tiagz,08-11-2023,SGB502390555,"2,172",30.8,"3,97,15,603","13,502","19,74,605",60,"8,44,39,011","9,51,441",Rock
Got Me Started,Got Me Started,Troye Sivan,9/20/2023,AUUM72300183,"2,180",30.7,"12,51,69,958","19,673","1,15,67,850",5,"2,26,61,967","3,32,818",pop
Low,SOS,SZA,12-09-2022,USRC12204586,"2,178",30.7,"45,28,81,574","59,064","1,76,62,712",73,"3,06,42,267","2,85,150",jazz
Night Changes,FOUR (Deluxe),One Direction,11/17/2014,GBHMU1400165,"2,179",30.7,"1,54,81,51,634","1,54,325","9,24,09,509",83,"94,87,60,574","90,09,457",hip hop
De Los Besos Que Te Di,De Los Besos Que Te Di,Christian Nodal,4/15/2019,MXUM71900299,"2,182",30.7,"51,84,77,840","40,921","1,33,24,377",71,"97,03,77,956","27,94,007",Rythem
BRODYAGA FUNK,BRODYAGA FUNK - EP,Eternxlkz,11/17/2023,QMFMF2345384,"2,183",30.7,"7,33,16,998","6,863","2,39,52,817",75,"4,84,25,342","5,81,515",Blues
Private Jet,Mafia Musik,D. Savage,2/17/2023,USUYG1464173,"2,181",30.7,"36,08,717","3,268","1,09,837",40,"34,00,92,596","52,38,903",Folk Music
DNA.,DAMN.,Kendrick Lamar,4/14/2017,USUM71703079,"2,184",30.7,"1,15,71,12,366","1,85,660","4,44,29,618",75,"35,63,43,325","35,73,193",Disco
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",Ty Dolla $ign,06-10-2014,USAT21401391,"2,197",30.6,"94,93,12,501","1,52,498","2,82,78,237",74,"85,82,85,365","54,19,110",Rock
Baklava,Baklava - Single,Gya,4/15/2024,ROGRA2400294,"2,189",30.6,"56,33,595",418,"2,86,571",61,"3,88,90,559","2,13,288",pop
bye,eternal sunshine,Ariana Grande,03-08-2024,USUM72317269,"2,194",30.6,"12,74,08,697","6,270","1,60,12,094",,"1,45,08,851","2,07,049",jazz
BIZCOCHITO,Find Your Line: Official Music from GRAN TURISMO 7,ROSALï¿½,03-04-2022,USSM12109223,"2,192",30.6,"22,29,10,969","42,182","1,04,06,462",61,"6,93,32,188","9,71,738",Rock
Veggie Dance,Veggie Dance,Gracie's Corner,04-05-2024,QZHNA2455146,"2,187",30.6,"22,79,039",222,"58,855",55,"4,33,79,343","3,32,023",pop
"Love Me Like You Do - From ""Fifty Shades Of Grey""","Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding,02-01-2015,GBUM71406823,"2,193",30.6,"1,53,29,83,094","1,16,546","4,91,88,494",70,"4,81,09,240","4,69,999",jazz
Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,10-04-2019,USQX91902507,"2,185",30.6,"66,61,07,710","1,27,503","4,01,34,293",71,"23,40,05,957","32,31,466",hip hop
Sittin' On Top Of The World,Sittin' On Top Of The World - Single,Burna Boy,06-01-2023,USAT22305462,"2,196",30.6,"4,47,51,795","23,415","36,22,192",55,"2,17,37,557","2,77,948",Rythem
Si Fuera Fï¿½ï¿,Si Fuera Fï¿½ï¿½cil - Si,Grupo Marca Registrada,5/27/2022,USDXS2201491,"2,195",30.6,"28,51,83,501","28,319","1,37,70,276",65,"32,28,57,747","15,66,688",Blues
Broke In A Minute,Broke In A Minute,Tory Lanez,02-07-2020,USUM72002126,"2,186",30.6,"40,70,15,049","1,16,527","2,29,47,586",70,"4,41,57,454","6,65,741",Folk Music
Mahiya Ve Gal Sun Mahiya Vey,Mahiya Ve Gal Sun Mahiya Vey - Single,Nimra Mehra,9/29/2023,DGA0M2361023,"2,190",30.6,"2,09,649",70,513,,,,Disco
Engana Dizendo Que Ama,Dos Prï¿½ï¿½dios De,Veigh,5/19/2023,QZMWW2396003,"2,188",30.6,"14,24,74,379","25,470","50,55,407",67,"14,47,74,313","8,22,345",Rock
In Case You Didn't Know,Brett Young EP,Brett Young,01-01-2016,QM3E21606006,"2,198",30.6,"56,07,74,282","62,305","1,41,98,815",68,"86,11,65,099","42,88,539",pop
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol. 54 - Si",Bizarrap,3/22/2023,UYB282301033,"2,191",30.6,"14,66,80,564","28,883","95,46,255",62,"15,49,16,805","30,43,720",jazz
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcï¿½ï¿½,9/30/2016,TCACS1630643,"2,199",30.5,"46,20,55,272","54,302","1,78,47,539",71,"1,54,61,20,738","79,74,135",Rock
HVN ON EARTH (with Kodak Black),HVN ON EARTH,Lil Tecca,8/18/2023,USUM72311878,"2,201",30.5,"11,46,69,893","39,763","2,17,60,033",60,"72,12,572","84,826",pop
Gently (feat. Bad Bunny),For All The Dogs,Drake,10-06-2023,USUG12306084,"2,204",30.5,"12,36,30,149","25,645","52,18,214",,"1,80,57,785","2,39,269",Rock
It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2/16/2017,SEBGA1700015,"2,205",30.5,"1,43,04,39,855","1,50,179","5,54,38,878",71,"30,80,45,364","27,68,168",pop
Baarish Ban Jaana,Baarish Ban Jaana,Payal Dev,06-03-2021,INUM72100032,"2,202",30.5,"7,06,22,319","4,554","12,02,197",57,"76,48,03,929","55,21,315",jazz
I CAN'T STOP ME,Eyes Wide Open,TWICE,10/26/2020,US5TA2000134,"2,200",30.5,"38,48,86,220","32,051","93,61,355",65,"68,16,82,229","79,66,863",hip hop
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Hollywood's Bleeding,Post Malone,09-06-2019,USUM71915731,"2,203",30.5,"62,26,90,472","1,08,263","1,86,37,177",69,"26,12,37,045","27,53,871",Rythem
Filhaal2 Mohabbat,Filhaal2 Mohabbat,B Praak,07-06-2021,INUM72100040,"2,206",30.5,"7,23,48,363","6,300","19,79,759",57,"71,72,90,683","68,65,430",Blues
8am in Charlotte,For All The Dogs,Drake,10-06-2023,USUG12306082,"2,207",30.5,"8,10,93,233","34,004","41,64,888",,"42,34,309","51,965",Folk Music
Vivir Mi Vida,3,Marc Anthony,7/23/2013,USSD11300112,"2,210",30.4,"61,86,71,056","78,822","2,84,65,181",71,"1,39,85,50,208","44,70,299",Disco
Lullaby - BadWolf Remix,Lullaby (BadWolf Remix),TR-MEET,3/24/2023,DEEE72301691,"2,213",30.4,"18,204",113,"5,777",10,"32,74,99,400","2,56,952",Rock
Love Not War (The Tampa Beat),Love Not War (The Tampa Beat) [Remixes] (feat. Jason Derulo),Jason Derulo,11/19/2020,GBARL2001440,"2,212",30.4,"28,61,79,073","51,888","95,69,404",59,"23,90,78,390","17,90,062",pop
WHERE SHE GOES,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QM6P42352188,"2,208",30.4,"71,78,49,037","11,199","44,02,776",,,,jazz
"Lose Yourself - From ""8 Mile"" Soundtrack",8 Mile,Eminem,10/29/2002,USIR10211559,"2,222",30.4,"2,19,49,35,773","3,45,119","9,78,08,878",75,"1,36,07,58,976","98,92,246",Rock
My Oh My,My Oh My,Ava Max,04-04-2024,USAT22401759,"2,216",30.4,"2,00,12,688","2,365","3,71,58,651",1,"72,98,437","1,49,857",pop
Not My Fault (with Megan Thee Stallion),Not My Fault (with Megan Thee Stallion),Reneï¿½ï¿½ ,12/15/2023,USUM72318541,"2,221",30.4,"8,14,94,626","8,973","2,02,13,928",,"1,01,469","1,338",jazz
willow,evermore,Taylor Swift,12-10-2020,USUG12004699,"2,217",30.4,"84,47,90,027","67,136","5,03,50,718",72,"18,95,34,686","27,29,881",hip hop
100 MESSAGGI,100 MESSAGGI,Lazza,2/27/2024,ITUM72400349,"2,219",30.4,"6,99,72,816","5,282","61,83,983",73,"3,02,83,430","2,32,134",Rythem
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,8/13/2021,UK4ZF2100518,"2,218",30.4,"50,94,45,605","1,05,947","6,84,08,965",68,"2,13,24,881","1,68,696",Blues
Cï¿½ï¿½,VICE VERSA,Rauw Alejandro,6/25/2021,USSD12100296,"2,215",30.4,"59,69,05,923","83,179","2,01,28,974",76,"13,26,34,826","10,11,336",Folk Music
Whatï¿½ï¿½ï¿½,Scary Hours 2,Drake,03-05-2021,USUG12101041,"2,220",30.4,"38,32,61,731","94,964","2,16,97,781",62,"8,45,27,592","13,40,886",Disco
Turn On The Lights again.. (feat. Future),USB,Fred again..,1/17/2022,GBAHS2201001,"2,214",30.4,"19,08,72,805","1,02,679","4,97,13,000",61,"48,04,721","64,070",Rock
Despï¿½ï¿½dase ,"Boca Chueca, Vol. 1",Carin Leon,06-01-2024,USA2P2432330,"2,211",30.4,"1,05,57,337",393,"4,23,29,224",72,"45,95,134","65,231",pop
"Mommy, Mommy Give Me Yummy","Mommy, Mommy Give Me Yummy",D Billions,4/20/2021,AEA0Q2102685,"2,209",30.4,,49,"4,311",21,"83,37,36,978","13,46,347",jazz
